"","doc_id","sdg01","sdg02","sdg03","sdg04","sdg05","sdg06","sdg07","sdg08","sdg09","sdg10","sdg11","sdg12","sdg13","sdg14","sdg15","sdg16","sgd17","sdg","gc","gri","int","company","country","year","ctrygrp"
"318","KR7028260008_2020_SR_0.pdf",2,3,3,3,3,6,26,4,2,5,0,0,16,0,7,62,11,63,0,82,0,"KR7028260008","KR",2020,"JKT"
"319","KR7035420009_2020_SR_0.pdf",0,0,0,0,0,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"KR7035420009","KR",2020,"JKT"
"320","KR7105560007_2016_SR_0.pdf",2,3,2,4,2,2,11,6,3,4,1,1,3,0,2,1,5,13,1,8,0,"KR7105560007","KR",2016,"JKT"
"321","NL0000009082_2016_IR_0.pdf",2,0,1,1,1,0,11,13,0,6,2,0,21,0,6,4,8,13,0,175,3,"NL0000009082","NL",2016,"EUR"
"322","NL0000009082_2020_IR_0.pdf",1,0,2,1,1,0,6,2,1,7,2,2,10,0,8,3,6,13,0,68,3,"NL0000009082","NL",2020,"EUR"
"323","NL0000009165_2016_IR_0.pdf",0,9,0,1,0,5,6,8,2,3,0,37,6,0,12,7,9,10,0,62,0,"NL0000009165","NL",2016,"EUR"
"324","NL0000009165_2020_IR_0.pdf",2,10,1,0,0,5,22,2,0,1,0,23,6,0,2,9,8,23,0,2,0,"NL0000009165","NL",2020,"EUR"
"325","NL0000009538_2016_IR_0.pdf",0,0,10,0,0,0,24,9,13,0,0,5,5,0,12,14,8,8,1,42,2,"NL0000009538","NL",2016,"EUR"
"326","NL0000009538_2020_IR_0.pdf",1,1,47,0,6,4,17,8,6,14,0,8,19,0,17,18,23,27,5,40,1,"NL0000009538","NL",2020,"EUR"
"327","NL0000226223_2016_SR_0.pdf",0,0,3,0,1,0,13,1,0,3,0,0,6,0,5,3,10,2,4,18,0,"NL0000226223","NL",2016,"EUR"
"328","NL0000226223_2020_SR_0.pdf",0,0,15,3,10,6,37,4,2,9,0,2,43,0,5,3,26,65,3,52,0,"NL0000226223","NL",2020,"EUR"
"329","NL0000235190_2016_IR_0.pdf",1,2,1,1,1,4,1,6,0,1,1,2,7,0,0,4,3,6,0,0,0,"NL0000235190","NL",2016,"EUR"
"330","NL0000235190_2020_IR_0.pdf",0,1,1,2,1,0,3,5,0,1,0,0,19,0,4,15,4,13,0,2,0,"NL0000235190","NL",2020,"EUR"
"331","NL0000395903_2016_SR_0.pdf",1,0,6,1,1,2,9,4,0,6,0,1,3,0,2,3,5,4,0,5,0,"NL0000395903","NL",2016,"EUR"
"332","NL0000395903_2020_IR_0.pdf",0,0,7,0,0,0,2,0,0,4,0,0,2,0,0,6,2,9,0,53,0,"NL0000395903","NL",2020,"EUR"
